bot_id,display_name,avatar_emoji,x_offset,sprite_url
bot_001,무장윤씨1,🔥,-3.8,
bot_002,철위권씨2,⚔️,-3.2,
bot_003,빙결강씨3,🛡️,-2.4,
bot_004,뇌전염씨4,🗡️,-1.5,
bot_005,금강최씨5,🏹,-0.6,
bot_006,암향한씨6,🦆,0.4,
bot_007,은주이씨7,🐉,1.3,
bot_008,맹렬장씨8,⭐,2.2,
bot_009,은신남씨9,💎,2.9,
bot_010,돌격조씨10,🎲,3.5,
bot_011,용사서씨11,🌋,4.0,
bot_012,화염정씨12,🪨,-3.5,
bot_013,산적신씨13,👑,-2.9,
bot_014,궁수박씨14,🐴,-1.8,
bot_015,무장임씨15,🦅,-0.2,
bot_016,철위김씨16,👤,0.8,
bot_017,빙결윤씨17,🔥,1.8,
bot_018,뇌전권씨18,⚔️,2.8,
bot_019,금강강씨19,🛡️,3.2,
bot_020,암향염씨20,🗡️,-4.0,
bot_021,은주최씨21,🏹,3.9,
bot_022,맹렬한씨22,🦆,-2.1,
bot_023,은신이씨23,🐉,-1.3,
bot_024,돌격장씨24,⭐,-0.8,
bot_025,용사남씨25,💎,-0.1,
bot_026,화염조씨26,🎲,-2.8,
bot_027,산적서씨27,🌋,-2.0,
bot_028,궁수정씨28,🪨,-1.0,
bot_029,무장신씨29,👑,2.7,
bot_030,철위박씨30,🐴,-3.35,
bot_031,빙결임씨31,🦅,-2.5,
bot_032,뇌전김씨32,👤,-3.67,
bot_033,금강윤씨33,🔥,-1.94,
bot_034,암향권씨34,⚔️,-0.45,
bot_035,은주강씨35,🛡️,-1.71,
bot_036,맹렬염씨36,🗡️,-2.93,
bot_037,은신최씨37,🏹,-3.81,
bot_038,돌격한씨38,🦆,-1.62,
bot_039,용사이씨39,🐉,-0.35,
bot_040,화염장씨40,⭐,-0.75,
bot_041,산적남씨41,💎,-1.12,
bot_042,궁수조씨42,🎲,-1.92,
bot_043,무장서씨43,🌋,-2.71,
bot_044,철위정씨44,🪨,-2.62,
bot_045,빙결신씨45,👑,-0.05,
bot_046,뇌전박씨46,🐴,-0.55,
bot_047,금강임씨47,🦅,-3.8,
bot_048,암향김씨48,👤,-3.2,
bot_049,은주윤씨49,🔥,-2.4,
bot_050,맹렬권씨50,⚔️,-1.5,
bot_051,은신강씨51,🛡️,-0.6,
bot_052,돌격염씨52,🗡️,0.4,
bot_053,용사최씨0,🏹,1.3,
bot_054,화염한씨1,🦆,2.2,
bot_055,산적이씨2,🐉,2.9,
bot_056,궁수장씨3,⭐,3.5,
bot_057,무장남씨4,💎,4.0,
bot_058,철위조씨5,🎲,-3.5,
bot_059,빙결서씨6,🌋,-2.9,
bot_060,뇌전정씨7,🪨,-1.8,
bot_061,금강신씨8,👑,-0.2,
bot_062,암향박씨9,🐴,0.8,
bot_063,은주임씨10,🦅,1.8,
bot_064,맹렬김씨11,👤,2.8,
bot_065,은신윤씨12,🔥,3.2,
bot_066,돌격권씨13,⚔️,-4.0,
bot_067,용사강씨14,🛡️,3.9,
bot_068,화염염씨15,🗡️,-2.1,
bot_069,산적최씨16,🏹,-1.3,
bot_070,궁수한씨17,🦆,-0.8,
bot_071,무장이씨18,🐉,-0.1,
bot_072,철위장씨19,⭐,-2.8,
bot_073,빙결남씨20,💎,-2.0,
bot_074,뇌전조씨21,🎲,-1.0,
bot_075,금강서씨22,🌋,2.7,
bot_076,암향정씨23,🪨,-3.35,
bot_077,은주신씨24,👑,-2.5,
bot_078,맹렬박씨25,🐴,-3.67,
bot_079,은신임씨26,🦅,-1.94,
bot_080,돌격김씨27,👤,-0.45,
bot_081,용사윤씨28,🔥,-1.71,
bot_082,화염권씨29,⚔️,-2.93,
bot_083,산적강씨30,🛡️,-3.81,
bot_084,궁수염씨31,🗡️,-1.62,
bot_085,무장최씨32,🏹,-0.35,
bot_086,철위한씨33,🦆,-0.75,
bot_087,빙결이씨34,🐉,-1.12,
bot_088,뇌전장씨35,⭐,-1.92,
bot_089,금강남씨36,💎,-2.71,
bot_090,암향조씨37,🎲,-2.62,
bot_091,은주서씨38,🌋,-0.05,
bot_092,맹렬정씨39,🪨,-0.55,
bot_093,은신신씨40,👑,-3.8,
bot_094,돌격박씨41,🐴,-3.2,
bot_095,용사임씨42,🦅,-2.4,
bot_096,화염김씨43,👤,-1.5,
bot_097,산적윤씨44,🔥,-0.6,
bot_098,궁수권씨45,⚔️,0.4,
bot_099,무장강씨46,🛡️,1.3,
bot_100,철위염씨47,🗡️,2.2,
