level,bot_id,delay_ms
1,bot_030,366
1,bot_094,489
1,bot_004,717
1,bot_098,695
1,bot_021,917
1,bot_036,1116
1,bot_049,1076
1,bot_046,1221
1,bot_044,1467
1,bot_005,1548
1,bot_078,1583
1,bot_003,1751
1,bot_019,1785
1,bot_054,1929
1,bot_064,2070
1,bot_009,2227
1,bot_025,2277
1,bot_043,2410
1,bot_051,2489
1,bot_058,2642
1,bot_096,2727
1,bot_069,2873
1,bot_089,3052
1,bot_061,3124
1,bot_093,3200
1,bot_035,3412
1,bot_040,3478
1,bot_062,3660
2,bot_047,618
2,bot_077,653
2,bot_071,797
2,bot_013,910
2,bot_076,1088
2,bot_100,1302
2,bot_080,1392
2,bot_087,1647
2,bot_023,1747
2,bot_006,1900
2,bot_032,2140
2,bot_048,2197
2,bot_091,2521
2,bot_065,2671
2,bot_034,2786
2,bot_085,2968
2,bot_002,2994
2,bot_024,3295
2,bot_017,3423
2,bot_063,3516
3,bot_008,580
3,bot_027,671
3,bot_070,734
3,bot_086,925
3,bot_060,922
3,bot_029,951
3,bot_052,1193
3,bot_038,1085
3,bot_033,1164
3,bot_082,1385
3,bot_041,1370
3,bot_007,1446
3,bot_066,1650
3,bot_088,1572
3,bot_028,1775
4,bot_059,647
4,bot_012,912
4,bot_053,880
4,bot_045,1005
4,bot_057,1174
4,bot_037,1279
4,bot_010,1498
4,bot_016,1593
4,bot_097,1602
4,bot_022,1872
4,bot_026,1841
4,bot_072,2035
5,bot_084,770
5,bot_015,1035
5,bot_099,1229
5,bot_011,1225
5,bot_014,1514
5,bot_031,1558
5,bot_092,1811
5,bot_081,1892
6,bot_050,848
6,bot_056,1005
6,bot_018,1169
6,bot_073,1248
6,bot_067,1155
7,bot_020,1050
7,bot_039,1215
7,bot_075,1346
