asset_key,asset_type,url,fallback_text,width,height
tycoon_coin,icon,/event/tycoonSeason/assets/tycoon_coin.png,🎈,40,40
season_coin,icon,/event/tycoonSeason/assets/season_coin.png,🏆,40,40
reward_energy,icon,/event/tycoonSeason/assets/reward_energy.png,⚡,36,36
reward_gold,icon,/event/tycoonSeason/assets/reward_gold.png,💰,36,36
reward_gem,icon,/event/tycoonSeason/assets/reward_gem.png,💎,36,36
reward_dna,icon,/event/tycoonSeason/assets/reward_dna.png,🧬,36,36
reward_sticker,icon,/sprites/skills/kunai.png,🃏,36,36
tycoon_banner_bg_top,color,#FF8A2A,,0,0
tycoon_banner_bg_bottom,color,#FFE4A8,,0,0
tycoon_banner_border,color,#FFFFFF,,0,0
tycoon_progress_track,color,#3D2817,,0,0
tycoon_progress_fill,color,#FFB347,,0,0
tycoon_title_text,color,#FFFFFF,,0,0
tycoon_timer_bg,color,#FFFFFF,,0,0
tycoon_timer_text,color,#333333,,0,0
season_widget_bg,color,#152238,,0,0
season_widget_border,color,#4FC3F7,,0,0
season_widget_accent,color,#29B6F6,,0,0
season_title_text,color,#E3F2FD,,0,0
season_badge_bg,color,#0D47A1,,0,0
season_badge_text,color,#FFFFFF,,0,0
lobby_tycoon_card_bg,color,#3D2817,,0,0
lobby_tycoon_card_border,color,#FFB347,,0,0
lobby_season_card_bg,color,#0F2744,,0,0
lobby_season_card_border,color,#4FC3F7,,0,0
enemy_normal,icon,/sprites/enemies/basic.png,👾,40,40
enemy_boss,icon,/sprites/boss/titan.png,👹,40,40
enemy_mini_boss,icon,,👿,40,40
help_arrow,icon,,➜,24,24
tournament_hero,icon,/event/assets/tournament_hero.png,🏆,120,72
tournament_tab_icon,icon,/event/assets/tournament_hero.png,🏆,48,48
modal_border_color,color,#9C7BD8,,0,0
modal_bg_color,color,#E8D4F8,,0,0
row_player_bg,color,#B3E5FC,,0,0
reward_lock,icon,/event/tycoonSeason/assets/reward_lock.png,🔒,36,36
