milestone_group_id,step,required_point,reward_bundle_id,reward_asset_key,reward_qty_label
mg_ty_01,1,400,reward_energy_25,reward_energy,×25
mg_ty_01,2,1200,reward_gold_500,reward_gold,×500
mg_ty_01,3,2400,reward_energy_40,reward_energy,×40
mg_ty_01,4,4000,reward_dna_1,reward_dna,×1
mg_ty_01,5,6000,reward_gem_50,reward_gem,×50
mg_ty_01,6,8400,reward_gold_1000,reward_gold,×1000
mg_ty_01,7,11200,reward_energy_60,reward_energy,×60
mg_ty_01,8,14400,reward_dna_3,reward_dna,×3
mg_ty_01,9,18000,reward_gem_150,reward_gem,×150
mg_ty_01,10,22000,reward_gem_300_gold_3000,reward_gem,×300
mg_se_01,1,400,reward_energy_20,reward_energy,×20
mg_se_01,2,1200,reward_gold_300,reward_gold,×300
mg_se_01,3,2400,reward_energy_30,reward_energy,×30
mg_se_01,4,4000,reward_dna_1,reward_dna,×1
mg_se_01,5,6000,reward_gem_30,reward_gem,×30
mg_se_01,6,8400,reward_gold_800,reward_gold,×800
mg_se_01,7,11200,reward_energy_50,reward_energy,×50
mg_se_01,8,14400,reward_dna_2,reward_dna,×2
mg_se_01,9,18000,reward_gem_100,reward_gem,×100
mg_se_01,10,22000,reward_gem_200_gold_2000,reward_gem,×200
