projectile_id,shape,color_hex,size_mult,speed_mult,life_seconds,pierce,bounce_enemy,bounce_screen,bounce_count,homing_turn_rate,gravity
p_kunai,kunai,#FF88AA,1.0,1.0,2.5,0,0,0,0,0.18,0
p_shuriken,kunai,#AAEEFF,1.0,1.3,3.0,1,0,0,0,0.0,0
p_boomerang,boomerang,#00A0FF,1.0,1.0,1.8,1,0,0,0,0.0,0
p_twin_boomerang,torus,#00FFFF,1.0,1.6,1.6,1,0,0,0,0.0,0
p_rocket,rocket,#FF6633,1.0,1.0,3.5,0,0,0,0,0.0,0
p_drone,sphere,#FF533D,1.2,0.945,3.2,0,0,0,0,0.08,0
p_soccer,sphere,#39FF14,1.0,1.0,4.0,0,1,1,6,0.0,0
p_drill,cone,#00FFFF,2.8,0.5,5.0,1,0,1,999,0.0,0
p_shotgun,sphere,#FFCC44,1.0,1.0,1.2,0,0,0,0,0.0,0
p_flask,flask,#FF7A1A,1.2,1.0,1.4,0,0,0,0,0.0,0.45
p_auto_basic,sphere,#AAAAFF,0.7,1.2,1.8,0,0,0,0,0.0,0
p_auto_revolver,sphere,#FFDD88,1.4,1.0,2.2,0,0,0,0,0.06,0
p_auto_shotgun,sphere,#FFB347,0.8,1.1,1.4,0,0,0,0,0.0,0
p_auto_drill,cone,#00DDFF,1.6,0.9,2.5,1,0,0,0,0.0,0
