stage,stage_name,max_enemies_scale,spawn_interval_scale,spawn_interval_min_frames,boss_hp_mult,xp_mult,initial_xp_small,enemy_hp_mult,enemy_speed_mult,enemy_dmg_mult
1,야생 거리,1.00,1.00,10,3.0,1.00,8,1.00,1.00,1.00
2,폐허 지하철,1.10,0.96,9,3.9,1.05,8,1.20,1.05,1.10
3,네온 시가지,1.20,0.92,9,4.8,1.10,8,1.40,1.10,1.20
4,붕괴된 항만,1.30,0.88,8,5.7,1.14,8,1.65,1.15,1.35
5,오염 구역,1.40,0.84,8,6.6,1.18,8,1.90,1.20,1.50
6,버려진 연구소,1.50,0.80,8,7.5,1.22,8,2.20,1.28,1.65
7,지하 격납고,1.62,0.76,7,8.4,1.26,8,2.55,1.35,1.80
8,균열의 틈,1.74,0.72,7,9.3,1.30,8,2.90,1.42,2.00
9,심연 게이트,1.86,0.68,7,10.2,1.33,8,3.30,1.46,2.20
10,프리즘 코어,2.00,0.65,6,11.1,1.35,8,3.80,1.50,2.40
