challenge_id,stage,difficulty,difficulty_name,enemy_hp_mult,enemy_dmg_mult,reward_dna,reward_gold,prereq_id
1,1,1,노말,1.0,1.0,5,500,0
2,1,2,하드,1.4,1.25,8,800,1
3,1,3,헬,1.9,1.55,12,1200,2
4,2,1,노말,1.3,1.1,5,600,3
5,2,2,하드,1.8,1.35,8,950,4
6,2,3,헬,2.4,1.7,12,1400,5
7,3,1,노말,1.6,1.2,8,750,6
8,3,2,하드,2.2,1.5,12,1150,7
9,3,3,헬,3.0,1.9,18,1700,8
10,4,1,노말,2.0,1.35,8,950,9
11,4,2,하드,2.7,1.65,12,1450,10
12,4,3,헬,3.6,2.1,18,2100,11
13,5,1,노말,2.4,1.5,10,1200,12
14,5,2,하드,3.3,1.85,15,1800,13
15,5,3,헬,4.4,2.35,22,2600,14
16,6,1,노말,2.9,1.65,10,1500,15
17,6,2,하드,4.0,2.05,15,2200,16
18,6,3,헬,5.3,2.6,22,3200,17
19,7,1,노말,3.5,1.85,15,1900,18
20,7,2,하드,4.8,2.3,20,2800,19
21,7,3,헬,6.4,2.9,30,4000,20
22,8,1,노말,4.2,2.1,15,2400,21
23,8,2,하드,5.8,2.6,20,3500,22
24,8,3,헬,7.7,3.3,30,5000,23
25,9,1,노말,5.1,2.4,20,3000,24
26,9,2,하드,7.0,3.0,28,4400,25
27,9,3,헬,9.3,3.8,40,6300,26
28,10,1,노말,6.2,2.7,25,3800,27
29,10,2,하드,8.5,3.4,35,5600,28
30,10,3,헬,11.3,4.3,60,8000,29
