evo_id,order,branch,node_name,node_title,node_description,icon,ability_type,effect_value,cost_type,cost_amount,prereq_id
1,1,0,방어 강화,방어,받는 피해를 줄입니다.,🛡️,armor,0.05,gold,500,0
2,2,0,체력 증가,체력,체력이 세면 파워도 셉니다.,❤️,hp,40,gold,800,1
3,3,0,공격력 강화,힘,적의 얼굴을 강타합니다.,💪,power,0.06,gold,1200,2
4,4,0,고기 보급,체력,최대 체력을 추가로 올립니다.,🍖,hp,50,gold,1800,3
5,5,0,방패 강화,방어,추가 피해감소를 얻습니다.,🛡️,armor,0.05,gold,2600,4
6,6,0,맹공 본능,힘,공격 계수를 더 크게 올립니다.,⚔️,power,0.08,gold,3600,5
7,7,0,강철 의지,체력,후반 생존용 체력을 확보합니다.,❤️,hp,80,gold,5000,6
8,8,0,쾌속 기동,기동,이동속도를 올려 회피를 강화합니다.,👟,speed,0.06,gold,6800,7
101,3,1,포식자,포식자,처치 시 확률적으로 HP를 회복합니다.,🍴,predator,0.15,dna,15,3
102,5,1,각성,각성,모든 스킬의 쿨타임을 단축합니다.,⚡,cooldown,0.10,dna,20,5
103,7,1,고출력 자석,고출력 자석,드롭 수집 반경을 크게 늘립니다.,🧲,magnet,0.40,dna,25,7
