stage,wave_id,start_time_seconds,spawn_interval_frames,max_enemies,rate_basic,rate_dog,rate_bloater,rate_spitter
1,1,0,11,240,1.00,0.00,0.00,0.00
1,2,120,9,320,0.70,0.30,0.00,0.00
1,3,210,7,400,0.45,0.30,0.15,0.10
1,4,360,5,520,0.30,0.20,0.25,0.25
2,1,0,11,240,0.80,0.20,0.00,0.00
2,2,120,8,320,0.60,0.30,0.10,0.00
2,3,210,6,400,0.38,0.27,0.20,0.15
2,4,360,5,520,0.25,0.20,0.28,0.27
3,1,0,10,240,0.70,0.20,0.10,0.00
3,2,120,8,320,0.50,0.28,0.14,0.08
3,3,210,6,400,0.32,0.24,0.24,0.20
3,4,360,5,520,0.20,0.18,0.32,0.30
4,1,0,10,260,0.60,0.20,0.12,0.08
4,2,120,8,340,0.42,0.26,0.18,0.14
4,3,210,6,420,0.26,0.22,0.28,0.24
4,4,360,5,540,0.16,0.16,0.36,0.32
5,1,0,10,260,0.50,0.20,0.16,0.14
5,2,120,7,340,0.34,0.24,0.22,0.20
5,3,210,6,420,0.20,0.20,0.32,0.28
5,4,360,5,560,0.12,0.14,0.40,0.34
6,1,0,10,280,0.42,0.18,0.20,0.20
6,2,120,6,360,0.28,0.22,0.26,0.24
6,3,210,5,440,0.16,0.18,0.36,0.30
6,4,360,5,580,0.10,0.12,0.44,0.34
7,1,0,9,280,0.34,0.16,0.24,0.26
7,2,120,6,360,0.22,0.20,0.30,0.28
7,3,210,5,460,0.12,0.16,0.40,0.32
7,4,360,5,600,0.07,0.10,0.47,0.36
8,1,0,8,300,0.26,0.14,0.30,0.30
8,2,120,6,380,0.16,0.18,0.34,0.32
8,3,210,5,480,0.08,0.14,0.44,0.34
8,4,360,5,620,0.04,0.08,0.52,0.36
9,1,0,8,300,0.18,0.12,0.36,0.34
9,2,120,5,380,0.10,0.16,0.38,0.36
9,3,210,5,500,0.05,0.12,0.47,0.36
9,4,360,5,640,0.02,0.06,0.54,0.38
10,1,0,8,320,0.10,0.10,0.42,0.38
10,2,120,5,400,0.05,0.12,0.45,0.38
10,3,210,5,520,0.02,0.08,0.52,0.38
10,4,360,5,660,0.00,0.05,0.57,0.38
